,index,ra,dec,ObjectId,g_psfMag,g_psfMagErr,r_psfMag,r_psfMagErr,u_psfMag,u_psfMagErr,g_psfFlux,g_psfFluxErr,r_psfFlux,r_psfFluxErr,u_psfFlux,u_psfFluxErr,g_extendedness,u_extendedness,r_extendedness,g_pixelFlags_inexact_psfCenter,u_pixelFlags_inexact_psfCenter,r_pixelFlags_inexact_psfCenter,g-r,u-g,g-r_err,u-g_err,color_flags,diaObjectId,nDiaSources,g_psfFluxMean,u_psfFluxMean,r_psfFluxMean,i_psfFluxMean,z_psfFluxMean,y_psfFluxMean,g_psfFluxSigma,u_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,z_psfFluxSigma,y_psfFluxSigma,g_scienceFluxMean,u_scienceFluxMean,r_scienceFluxMean,i_scienceFluxMean,z_scienceFluxMean,y_scienceFluxMean,g_scienceFluxMeanErr,u_scienceFluxMeanErr,r_scienceFluxMeanErr,i_scienceFluxMeanErr,z_scienceFluxMeanErr,y_scienceFluxMeanErr,g_psfFluxChi2,u_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,z_psfFluxChi2,y_psfFluxChi2,g_psfFluxPercentile25,g_psfFluxPercentile75,u_psfFluxPercentile25,u_psfFluxPercentile75,r_psfFluxPercentile25,r_psfFluxPercentile75,i_psfFluxPercentile25,i_psfFluxPercentile75,z_psfFluxPercentile25,z_psfFluxPercentile75,y_psfFluxPercentile25,y_psfFluxPercentile75,g_psfFluxStetsonJ,u_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,z_psfFluxStetsonJ,y_psfFluxStetsonJ,r_psfFluxIQR,r_psfFluxIQRFrac,shape_flags,point_size,simbad_results
147,24749,94.8023057549659,-25.448785660826193,612929285254033896,15.7705,0.000182919,15.5337,0.00030552,16.7262,0.000732637,1785620.0,300.833,2220960.0,624.964,740500.0,499.677,0.0,0.0,,True,False,True,0.2368002,0.9556999,0.000488439,0.000915556,in_dia,6.129292852540218e+17,28.0,25743.033203125,-6665.54296875,,341408.09375,-67992.7109375,,20759.80789768256,11278.293003711693,,67886.15040723886,14899.806189615585,,1557066.0,743867.0,,2690927.5,2747347.25,,335.40447998046875,853.0040893554688,,1069.9534912109375,807.8043212890625,,2518.22,110.115,,2320.38,261.765,,17217.26171875,30920.86328125,-12910.0546875,-3086.531982421875,,,302881.921875,369768.25,-72695.5390625,-66160.001953125,,,9.838278884084412,4.333820903543248,,27.1370266668784,3.018240125027776,,,,in_dia,15,N/A
164,26198,94.70508910529489,-25.421154705008295,612929353973510114,15.8161,0.000183392,15.5136,0.000451621,16.9159,0.00099525,1712160.0,289.201,2262310.0,941.028,621758.0,569.94,0.0,0.0,,True,False,True,0.30249977,1.0997992,0.000635013,0.0011786419,in_dia,6.129293539734981e+17,19.0,-63820.4609375,,,468350.625,30829.990234375,,194726.32991307453,,,,26103.35671922722,,1461403.375,,,2913670.0,2958384.75,,360.40679931640625,,,1942.9298095703125,919.0800170898438,,355413.0,,,0.0,574.696,,19201.412109375,37864.4375,,,,,468350.625,468350.625,16314.72900390625,43348.826171875,,,68.49140521379748,,,,7.560750423832354,,,,in_dia,15,N/A
280,36359,94.52999108223703,-24.78183322314043,614430462223331728,16.4484,0.000453403,16.2969,0.00145325,17.6817,0.00129557,956433.0,399.406,1099620.0,1471.82,307138.0,366.497,,0.0,,True,False,True,0.1515007,1.2332993,0.0019066529,0.001748973,in_dia,6.14430462223319e+17,20.0,-62914.26953125,-5413.8681640625,,,-771026.4375,-10626.689453125,310935.54976188403,,,,914058.6610340449,14064.535509812675,1595673.0,270204.53125,,,4550324.0,6495814.0,377.3712158203125,1027.735107421875,,,1271.9610595703125,4362.15185546875,714206.0,0.0,,,455200.0,3.8804,60133.583984375,122803.05859375,-5413.8681640625,-5413.8681640625,,,,,-120404.7421875,-87679.798828125,-15284.90234375,-5339.774383544922,109.74366704718832,,,,150.15179956860902,1.6644902185746153,,,in_dia,15,N/A
506,48639,94.65273312413626,-24.833720056056137,614430393503852275,15.1971,0.000119965,15.0602,0.000339891,16.167,0.000392952,3028060.0,334.577,3435030.0,1075.34,1239340.0,448.545,,0.0,,True,True,True,0.13689995,0.96990013,0.000459856,0.000512917,in_dia,6.144303935038423e+17,64.0,121724.6796875,16453.201171875,,,-652276.5,62007.9609375,235961.79710948348,7369.290641786598,,,899386.9410356228,192823.6678234971,2432410.0,1234794.375,,,4006328.5,5493626.0,333.59210205078125,507.3013000488281,,,683.2144775390625,2516.060546875,1371520.0,178.622,,,1749200.0,4269.81,292930.796875,363935.7421875,12303.486572265625,19792.86767578125,,,,,105138.265625,182160.359375,-26434.244140625,185065.3125,72.88802998223387,1.6131034131354174,,,207.41092801554598,25.11320058166474,,,in_dia,15,N/A
538,49522,94.63624656897117,-24.832710031603902,614430393503851284,15.6844,0.000132797,15.4374,0.000167788,16.7134,0.000481962,1933110.0,236.439,2426740.0,375.026,749299.0,332.617,0.0,0.0,,True,True,True,0.24699974,1.0290003,0.000300585,0.000614759,in_dia,6.144303935038423e+17,62.0,59976.87890625,13128.970703125,,-543453.5,7004.12109375,24490.525390625,61537.47826753586,7421.023761868469,,639893.0371795057,17474.857167837683,90066.24591661523,1898036.75,728555.8125,,869001.0,2932604.25,3094668.0,289.93719482421875,598.9203491210938,,388.8780212402344,548.6406860351562,1847.0701904296875,36529.7,119.784,,1104080.0,863.552,1699.16,34772.916015625,49674.46484375,10278.962158203125,16292.353515625,,,-300832.671875,248381.4453125,-8913.24658203125,16218.5126953125,-58575.30859375,93273.515625,21.125011512507054,2.554448398391009,,396.8183034313323,5.340564571887656,17.822721377984767,,,in_dia,15,N/A
608,51782,94.56855348422191,-24.830167133795435,614430462223329621,15.9371,0.000177648,15.6009,0.000203078,17.1151,0.000714898,1531630.0,250.604,2087590.0,390.466,517551.0,340.779,0.0,0.0,,False,True,True,0.3362007,1.1780005,0.000380726,0.000892546,in_passed,6.14430462223319e+17,61.0,29666.162109375,13272.345703125,-83641.8046875,295155.75,44389.703125,-37835.58984375,27890.890999545973,1534.7372816827049,434168.5098978143,40049.76676175038,16275.690612721879,8136.630253543688,1414800.375,526233.3125,1323217.625,2608814.0,2660239.75,2713584.25,306.6968688964844,538.2064208984375,307.2977600097656,828.438720703125,545.9609375,2283.266845703125,7229.2,6.27393,1398820.0,1714.78,780.86,6.83702,9039.66064453125,53200.9375,12323.2646484375,14068.8701171875,222073.5390625,271735.7109375,261168.375,305815.09375,36841.46484375,59426.72265625,-42014.212890625,-34095.4794921875,18.49042387967063,-0.09363242334007857,191.85475379204112,16.299756188522498,5.249232966660579,0.9169057895653331,49662.171875,0.026192127081111086,in_passed,60,N/A
649,53688,94.5918296444484,-24.872390292313423,614430462223328049,15.2,0.00011894,15.0225,0.000303092,16.2434,0.000414298,3019910.0,330.824,3556430.0,992.805,1155130.0,440.776,,0.0,,True,True,True,0.17749977,1.0434008,0.000422032,0.000533238,in_dia,6.14430462223319e+17,57.0,132409.28125,16897.5,,,-768541.4375,175562.734375,269281.41887900623,10834.62789211408,,,930682.7041464419,184141.49245523856,2838010.75,1136953.375,,,4473592.0,6359765.5,378.7765197753906,529.2399291992188,,,759.3353881835938,3067.06005859375,1213310.0,348.452,,,2362230.0,2306.36,270538.5625,348939.90625,13098.5546875,19883.662109375,,,,,92249.142578125,142070.203125,33117.4228515625,318777.015625,81.06369794887972,2.613330731112735,,,178.37277546241623,26.988737852475637,,,in_dia,15,N/A
651,53820,94.56688660660568,-24.844031938097523,614430462223328183,15.865,0.000162364,15.6087,0.00021676,16.9056,0.00066175,1636770.0,244.768,2072610.0,413.782,627718.0,382.59,0.0,0.0,,False,True,True,0.25629997,1.0405998,0.00037912402,0.00082411396,in_passed,6.14430462223319e+17,59.0,27383.83984375,12619.58984375,-197607.234375,303192.4375,33454.72265625,-47676.0078125,30196.96255697156,2510.8427311049063,456314.1099834515,71241.10139903172,14577.565715164039,16202.267008112438,1605679.875,632667.0,1051076.875,2537500.0,2549698.75,2589664.5,368.0648193359375,521.7803955078125,278.85662841796875,911.6821899414062,520.7898559570312,2210.8857421875,5528.61,18.1695,1635680.0,4344.15,744.097,29.2984,6549.821533203125,52143.5869140625,10638.630859375,14820.4609375,68238.0859375,267219.28125,277484.9609375,345374.4375,25448.2685546875,42342.7080078125,-56487.0703125,-41223.33984375,18.108227352379327,0.5662942558358675,277.1161668928645,30.75579104019028,4.693773969441361,2.4437498356379934,198981.1953125,,in_passed,60,N/A
652,53825,94.55040479674372,-24.840447466511172,614430462223328181,15.6524,0.000269183,15.5203,0.000859106,16.692,0.000674919,1990910.0,493.6,2248380.0,1779.07,764166.0,475.024,,0.0,,True,False,True,0.1321001,1.0395994,0.001128289,0.00094410195,in_dia,6.14430462223319e+17,23.0,449466.9375,17054.29296875,,,,-2499772.75,58680.11308066237,11435.928608850647,,,,2596592.4990586564,3811559.25,1054916.25,,,,2694213.75,596.4928588867188,658.681396484375,,,,2779.415283203125,7977.9,248.501,,,,111043.0,408551.953125,487442.8671875,16513.279296875,22563.130859375,,,,,,,-2563483.6875,-727415.484375,22.01822317594167,2.7512231759517745,,,,274.7826057695571,,,in_dia,15,N/A
763,62045,95.12597265130124,-25.497475260237287,612929216534555403,17.856,0.000755168,17.6029,0.000658775,18.827,0.0047983,261579.0,181.937,330238.0,200.374,106956.0,472.683,0.0,1.0,0.0,False,False,False,0.25310135,0.97099876,0.001413943,0.005553468,in_dia,6.129292165345449e+17,19.0,65.17017364501953,6769.87353515625,-1033.9327392578125,20981.76171875,-4479.517578125,,3257.9158278445448,,6201.102273164116,3818.1086912285477,3176.5577370806823,,188149.28125,119121.546875,334599.15625,352219.875,351323.53125,,166.09498596191406,824.5040893554688,224.16094970703125,468.350830078125,535.0105590820312,,201.439,0.0,464.198,27.2294,18.2709,,-1446.3135375976562,2465.1380004882812,6769.87353515625,6769.87353515625,-5474.39013671875,3073.5411376953125,19742.7216796875,22442.5322265625,-6151.57421875,-3310.6441040039062,,,5.08224262303663,,7.0483220723362905,4.441723376040597,1.3525925475642453,,8547.931274414062,0.04032654431486996,in_dia,15,N/A
831,65941,94.95770102253678,-25.432237266715497,612929285254034570,15.3876,0.000119971,15.1226,0.000222213,16.5474,0.000641832,2540690.0,280.739,3243040.0,663.741,873043.0,516.099,,0.0,,True,True,True,0.26500034,1.1597996,0.000342184,0.000761803,in_dia,6.129292852540212e+17,52.0,8029.7802734375,-5829.4638671875,,,122001.375,16181.3671875,222277.19274713288,9481.91686695747,,,32469.89493320139,14956.647712722543,2148505.75,651262.125,,,4394886.0,4604312.5,298.7993469238281,640.1707763671875,,,693.9630737304688,3566.678955078125,1351420.0,242.171,,,2224.18,6.49442,137338.22265625,168775.10546875,-15049.966796875,-10312.350341796875,,,,,117593.72265625,140006.91015625,10175.61083984375,20751.5576171875,60.0318370180944,4.153948359546185,,,7.469439997703977,1.7539165636921847,,,in_dia,15,N/A
836,66083,94.91874082566427,-25.44221970647725,612929285254034369,15.756,0.000139923,15.4189,0.000190773,16.9324,0.00068048,1809610.0,233.212,2468540.0,433.743,612428.0,383.836,0.0,0.0,,False,False,True,0.33710003,1.1764002,0.000330696,0.000820403,in_dia,6.129292852540216e+17,42.0,18744.99609375,-1975.506103515625,,456607.5,10613.158203125,,15798.477991112333,9846.01801283081,,24039.79378317741,16861.666220542178,,1206327.0,575558.3125,,3114003.25,3243332.25,,221.28482055664062,618.1976318359375,,1160.72216796875,725.5302124023438,,4445.03,197.431,,236.744,454.116,,11304.291015625,23254.041015625,-10236.292724609375,5974.5943603515625,,,442913.4375,464175.171875,4241.84326171875,18532.61669921875,,,9.066126008259955,5.698892005923015,,7.060875792860482,4.250992592320894,,,,in_dia,15,N/A
889,71878,95.35957031100509,-25.424095134877316,612929079095597634,15.6919,0.000360751,15.4211,0.000497828,16.6788,0.00158228,1919710.0,637.851,2463450.0,1129.53,773556.0,1127.33,0.0,0.0,,False,False,True,0.2708006,0.9869003,0.000858579,0.0019430311,in_dia,6.12929079095591e+17,12.0,42640.4609375,9493.3515625,387923.9375,456812.9375,434335.71875,,8026.909454907785,26559.76953125,20237.219300863693,,211034.73348528068,,1874990.5,782085.0625,2748147.0,3093011.5,3248340.0,,718.1969604492188,1290.654052734375,1258.340576171875,2040.204833984375,1471.1572265625,,81.9465,168.825,110.936,1.66157e-10,11370.4,,38961.0751953125,44248.4912109375,-620.2255859375,18160.3671875,379809.875,394119.75,456812.90625,456812.90625,324745.171875,526147.4375,,,2.9798233707951707,12.173003391816417,9.60631394469405,,58.01225145581324,,14309.875,0.023179648706196602,in_dia,15,N/A
1029,84200,95.51101164400185,-24.790192805384606,614437540329429835,15.808,0.000337889,15.5747,0.000258605,16.8271,0.00152449,1725050.0,536.85,2138470.0,509.35,674784.0,947.47,0.0,1.0,,False,True,True,0.23329926,1.0191011,0.000596494,0.001862379,in_dia,6.144375403294228e+17,19.0,35961.96484375,61931.38671875,,410761.46875,18179.62109375,-37928.62890625,41070.815251734,31300.153014791602,,,33461.05310905901,,1547121.25,722266.3125,,2556415.5,2592413.0,2529373.5,554.4744873046875,837.45947265625,,1816.7633056640625,781.266357421875,3711.714599609375,3504.32,869.439,,0.0,1453.28,0.0,14129.81640625,70290.8671875,41331.49560546875,76435.654296875,,,410761.46875,410761.46875,-10659.767333984375,30386.548828125,-37928.62890625,-37928.62890625,23.19081544628599,14.240928522238605,,,11.13507505300262,,,,in_dia,15,N/A
1163,93368,95.29337758583196,-24.72112757173887,614437677768392917,16.8726,0.000208514,16.615,0.000166094,17.8607,0.00141454,647090.0,124.272,820330.0,125.493,260458.0,339.336,0.0,0.0,0.0,False,True,True,0.25760078,0.98810005,0.000374608,0.001623054,in_dia,6.144376777683763e+17,104.0,10243.2734375,-9854.08203125,8518.6748046875,9512.267578125,-1325.437744140625,-10437.4375,5123.6956915613655,,7727.735058383455,7473.13445655982,5121.034242616692,,614449.75,233838.03125,800284.5625,864320.875,729340.875,458258.25,137.5642852783203,1048.9110107421875,137.33755493164062,328.8011169433594,263.7694396972656,1854.998779296875,1297.87,0.0,2744.06,436.281,352.278,0.0,8148.9947509765625,12479.251708984375,-9854.08203125,-9854.08203125,3591.788818359375,12132.695556640625,4686.818603515625,11851.5615234375,-4713.4915771484375,1001.0930786132812,-10437.4375,-10437.4375,4.416885570582713,,6.197668447619741,4.744147828729419,2.7526637338392472,,8540.90673828125,0.010282979758924941,in_dia,15,N/A
1166,93414,95.27133522625249,-24.71999203584265,614437677768393040,15.5919,0.000134765,15.2777,0.000170826,16.7483,0.000623795,2104880.0,261.265,2811320.0,442.324,725600.0,416.883,,0.0,,True,False,True,0.31419945,1.1564007,0.00030559098,0.00075855997,in_dia,6.144376777683763e+17,65.0,-19011.46484375,-430.2261962890625,,,-238799.875,20221.623046875,202754.32623112877,11605.091225729175,,,533937.4740332206,35530.638891803574,1989386.625,729344.8125,,,3229969.75,4060002.75,276.4249267578125,627.474853515625,,,485.0770568847656,2112.7998046875,1402600.0,269.524,,,1854000.0,204.192,97527.42578125,120999.0546875,-10362.75244140625,7375.79150390625,,,,,127154.740234375,172071.359375,2350.9541015625,41348.58203125,56.43498191708065,5.085685690241506,,,110.38358185951913,5.6490675665939225,,,in_dia,15,N/A
1908,130046,94.70917878436896,-24.849344762106014,614430393503851554,15.5215,9.94115e-05,15.243,0.000154371,16.6881,0.000475908,2245980.0,205.645,2902800.0,412.724,766921.0,336.163,,0.0,,True,True,True,0.2784996,1.1666012,0.0002537825,0.0005753195,in_dia,6.144303935038423e+17,102.0,39264.35546875,14403.0537109375,,,-112969.9765625,91838.3828125,191753.86440996284,6730.919373115917,,,298121.0012739759,71261.96007661121,2031553.875,775823.75,,,3408546.75,4001743.0,202.26568603515625,426.1304016113281,,,476.3420104980469,2125.2548828125,1686390.0,214.59,,,847053.0,759.295,145568.953125,177099.89453125,9899.908203125,16185.280029296875,,,,,9102.2666015625,32291.419921875,57052.3203125,114874.2890625,57.77735554516645,2.1972367437888543,,,38.85374398057874,10.424685868630327,,,in_dia,15,N/A
2021,135139,94.72747684947551,-24.67645898654572,614431080698619593,15.9092,0.00026204,15.6141,0.000755218,16.9964,0.000791515,1571550.0,379.291,2062420.0,1434.58,577372.0,420.911,,0.0,,True,False,True,0.29509926,1.0872011,0.001017258,0.0010535549,in_dia,6.144310806986097e+17,29.0,18741.541015625,16613.197265625,,,,-91410.2265625,326781.2517013519,10539.747852058274,,,,30590.354832526322,2242065.25,602273.25,,,,7658602.0,385.4257507324219,485.1534729003906,,,,4056.27392578125,1381800.0,382.212,,,,31.658,230431.25390625,284752.1171875,9986.3291015625,19758.72607421875,,,,,,,-100838.234375,-72858.2578125,100.79312826514042,4.295321662994743,,,,2.1923073163018305,,,in_dia,15,N/A
2181,145340,95.13433571490735,-24.520865137954452,614439052157918984,15.964,0.000241958,15.6929,0.000245928,17.0078,0.000997042,1494210.0,332.987,1918030.0,434.449,571335.0,524.662,0.0,0.0,,False,False,True,0.27110004,1.0437994,0.00048788602,0.001239,in_dia,6.14439052157911e+17,36.0,2549.7578125,22816.453125,177545.59375,293187.0,36143.7890625,115602.0234375,20120.71000619206,6232.670450552401,26357.77592945458,48272.96461182544,12970.330674580835,,543294.25,581639.6875,2123160.25,2373853.5,2408481.25,2396560.75,231.0157012939453,595.3676147460938,543.5548095703125,1249.6884765625,675.892822265625,3601.902587890625,4419.7,86.1662,1552.89,625.724,317.1,0.0,-28368.134765625,-6805.3212890625,18000.25732421875,26687.69140625,161615.41796875,182846.64453125,279093.1015625,313227.2421875,27606.84375,45885.375,115602.0234375,115602.0234375,22.975276574890273,3.3503788937404386,10.181749750843831,23.452626414310608,4.4649203514308935,,21231.2265625,0.13486397363221794,in_dia,15,N/A
2185,145500,95.15625807688872,-24.500307978831433,614439052157919660,15.9831,0.000550202,16.0301,0.000718725,17.2304,0.00125804,1468100.0,743.967,1405910.0,930.668,465399.0,539.258,,0.0,,True,False,True,-0.04699993,1.2473001,0.001268927,0.0018082419,in_dia,6.144390521579116e+17,12.0,215162.375,22873.568359375,,,784887.0625,,48081.17515222524,9707.792976899364,,,59362.01202817508,,2775225.0,479567.9375,,,7549137.0,,889.4432373046875,545.6983642578125,,,2904.644287109375,,1734.8,236.488,,,190.466,,185254.83984375,249000.83984375,18769.6103515625,28701.13671875,,,,,767608.515625,809583.796875,,,21.74068124824884,4.615515507062066,,,12.660625773288803,,,,in_dia,15,N/A
2193,145727,95.24449931699382,-24.52023371038614,614439052157919440,16.6165,0.000535464,16.3304,0.000584005,17.7415,0.00187821,819225.0,404.026,1066210.0,573.5,290675.0,502.836,0.0,0.0,0.0,True,False,False,0.2861004,1.125,0.0011194691,0.002413674,in_dia,6.144390521579113e+17,15.0,6198.11669921875,10731.58203125,,-3155.9765625,4436.83642578125,,14197.171452748938,2706.501881293331,,4456.8581252194645,8377.350809416337,,766229.3125,275539.25,,1207862.625,873968.1875,,496.1220703125,548.1143798828125,,707.2954711914062,565.40087890625,,445.465,15.3037,,23.0438,196.128,,-1413.8355102539062,11152.4755859375,9840.163818359375,11518.506591796875,,,-5268.217529296875,-844.5588989257812,4037.888916015625,12900.373046875,,,9.897715025493925,0.9569087507901342,,2.33665149768059,5.436720629061896,,,,in_dia,15,N/A
2200,145942,95.21553202689483,-24.537917108139638,614439052157918446,16.0644,0.000299546,15.7802,0.000297664,17.1434,0.00121001,1362230.0,375.828,1769750.0,485.193,504265.0,561.984,0.0,0.0,,False,False,True,0.2841997,1.0790005,0.00059721,0.0015095561,in_passed,6.14439052157911e+17,35.0,14689.8857421875,12469.5673828125,-204304.875,-499631.15625,39045.39453125,31284.6484375,30976.784888772894,2781.8806729232656,394298.16582169896,549884.991841221,10565.933859959103,,1374184.75,510681.25,1167791.75,459438.65625,2432336.5,2437861.75,489.9095153808594,731.5703125,373.3484191894531,329.3694152832031,691.8823852539062,3667.8603515625,3066.11,9.58207,804119.0,687212.0,205.488,0.0,2026.9433898925781,33830.4169921875,11575.511962890625,14280.80712890625,87100.9921875,129286.0703125,-650293.1875,281835.0,32165.52734375,47353.5302734375,31284.6484375,31284.6484375,21.23762041718513,0.5895359543285331,190.78306758690508,369.56597396865556,3.3150014018849867,,42185.078125,0.36447442066164815,in_passed,60,N/A
